Packet Type,Malware Indicators,Alerts/Warnings,Attack Type,Attack Signature,Severity Level,Proxy Information,Firewall Logs,IDS/IPS Alerts,Traffic Type_DNS,Traffic Type_FTP,Traffic Type_HTTP,Protocol_ICMP,Protocol_TCP,Protocol_UDP,Log Source_Firewall,Log Source_Server,Network Segment_Segment A,Network Segment_Segment B,Network Segment_Segment C,Action Taken_Blocked,Action Taken_Ignored,Action Taken_Logged,Anomaly Scores_Scaled,Packet_Length_Scaled,Destination_Port_Category,Source_Port_Category,year,month,dayofweek,hour,OS_name,Os_Version_Security
0,0,0,1,1,3,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0.9120999999999999,0.01671309192200557,1,0,0,1,6,11,Linux,1.0
1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.828,0.9979108635097493,1,1,1,3,2,9,Windows,10.0
0,0,0,2,0,3,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.7885,0.1671309192200557,1,1,0,1,6,19,iPod,4.0
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0.5069,0.6525069637883009,1,1,1,10,4,21,Linux,1.0
0,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.753,0.8969359331476323,1,1,2,8,2,19,iPad,7.1
0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0.3308,0.3370473537604457,1,0,2,8,2,2,iPod,3.0
0,0,1,2,0,3,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.0727,0.7311977715877438,1,1,0,3,1,4,iPod,3.2
0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.7668,0.059192200557103065,1,1,2,11,6,17,Windows,10.0
0,1,1,2,1,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.3622,0.3370473537604457,1,0,2,11,3,22,iPad,7.1
1,1,1,0,0,3,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0.1336,0.7256267409470752,1,1,2,1,5,9,Linux,1.0
1,1,0,2,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0.6901,0.8537604456824512,1,1,0,3,1,1,Android,6.0
0,1,1,1,1,3,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.047400000000000005,0.08774373259052926,1,1,1,2,0,5,iPhone,4.2
1,0,1,0,0,3,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.5166,0.6483286908077994,0,1,0,9,6,1,Windows,1.0
1,1,1,2,0,3,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0.8386,0.8899721448467967,0,1,2,12,6,7,Macintosh,10.11
0,0,1,0,0,2,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.7961,0.45821727019498604,1,1,1,1,2,22,Macintosh,10.5
1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.1495,0.7778551532033426,0,1,3,5,1,17,Macintosh,10.7
1,0,0,0,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.121,0.5870473537604457,1,1,0,6,1,1,Windows,2.0
0,1,0,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0.0333,0.9491643454038997,1,0,0,7,1,3,Windows,5.0
1,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.1893,0.5076601671309192,1,1,0,3,2,7,iPad,7.1
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0.9683,0.4331476323119777,1,0,0,3,0,20,Windows,5.1
0,0,1,2,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.8275,0.7158774373259053,1,1,3,7,4,19,Windows,10.0
0,0,1,2,1,3,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0.8815999999999999,0.298050139275766,0,0,2,12,6,22,Windows,0.0
0,1,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0.4533,0.5201949860724234,1,1,1,4,0,15,Windows,10.0
1,1,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0.9108,0.9610027855153203,1,1,1,4,1,21,Windows,5.01
1,0,1,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.45270000000000005,0.25,1,1,3,6,1,6,iPod,3.1
0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0.5159,0.47353760445682447,1,0,1,7,6,5,Linux,1.0
1,1,1,2,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.7369,0.07590529247910863,1,1,0,12,3,16,Linux,1.0
0,0,1,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.2725,0.19220055710306408,1,1,3,9,2,2,Linux,1.0
1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0.8143000000000001,0.7089136490250696,1,1,3,1,0,9,Linux,1.0
1,0,0,2,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0.8928,0.5654596100278552,0,1,2,4,1,1,Macintosh,10.8
0,1,0,2,0,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0.43950000000000006,0.8739554317548747,0,1,0,9,2,7,iPad,14.2
0,1,1,1,0,2,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0131,0.6350974930362117,1,1,3,8,6,9,iPod,3.3
1,0,1,0,1,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0.9814,0.6413649025069638,0,1,2,11,6,4,Linux,1.0
0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.8495,0.5835654596100278,1,1,0,3,1,7,Android,4.1
1,1,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0.1456,0.5745125348189415,1,1,0,8,5,23,iPod,4.3
0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0.318,0.9944289693593316,0,1,2,3,0,14,Windows,5.01
1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.037000000000000005,0.5034818941504179,1,1,3,2,0,19,Windows,2.0
1,0,0,2,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0.9764,0.7005571030640668,1,1,2,10,3,4,Linux,1.0
1,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0.5819,0.9686629526462396,1,1,1,11,2,20,Linux,1.0
1,0,1,2,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0.10439999999999999,0.4011142061281337,0,1,1,12,4,11,Macintosh,10.7
0,1,1,0,1,3,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0.053899999999999997,0.775766016713092,1,1,1,10,0,4,Windows,1.0
0,1,0,2,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0.9179,0.06545961002785516,1,1,2,4,0,20,iPad,9.3
0,1,1,2,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.7026000000000001,0.9366295264623955,0,1,2,3,3,23,Windows,2.0
1,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0.8654999999999999,0.5584958217270195,0,0,2,11,3,14,Linux,1.0
0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0.11109999999999999,0.19428969359331477,1,1,3,3,4,19,Macintosh,10.8
0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.7101999999999999,0.3252089136490251,1,1,0,11,6,13,Windows,6.2
1,0,0,0,1,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.5168,0.9213091922005571,1,1,0,4,6,9,Windows,5.01
1,0,0,1,0,3,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.43229999999999996,0.4533426183844011,1,1,0,12,2,14,Windows,6.1
1,1,1,2,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.4731,0.48816155988857934,1,1,2,10,6,5,iPod,3.0
0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.7767000000000001,0.4052924791086351,1,0,0,10,6,14,iPhone,10.3
1,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0.2066,0.7506963788300836,1,1,3,7,4,17,Windows,5.01
1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0.9092,0.6552924791086351,1,1,3,7,0,14,Macintosh,10.11
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.6489,0.6406685236768802,1,0,2,6,5,23,iPad,5.1
0,1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0.7706999999999999,0.31197771587743733,1,1,3,8,4,9,Linux,1.0
0,1,0,2,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.5338,0.7848189415041783,0,0,1,10,6,0,Windows,6.2
1,0,0,1,0,3,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.2274,0.3224233983286908,1,1,3,6,2,4,iPhone,14.2
1,0,0,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.8187000000000001,0.9220055710306406,1,0,1,1,0,15,Macintosh,10.6
1,0,0,1,0,3,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.9862000000000001,0.25139275766016717,1,0,3,8,5,16,Android,4.3
1,0,0,1,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.1441,0.29735376044568246,1,1,3,8,4,7,Windows,5.0
1,1,1,1,1,2,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0.4128,0.42061281337047357,1,1,3,3,0,10,Android,4.0
0,0,0,1,1,3,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.3628,0.7402506963788301,0,1,1,1,6,2,Windows,5.01
1,1,1,0,0,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.613,0.8551532033426184,0,0,0,10,3,4,iPod,4.2
0,1,1,2,0,2,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0.36950000000000005,0.66991643454039,0,1,0,7,2,6,Windows,0.0
1,1,1,2,1,3,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.5544,0.45125348189415043,1,1,0,3,1,5,Linux,1.0
0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.6973,0.8676880222841226,1,0,1,12,0,10,Macintosh,10.11
0,1,0,2,0,2,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0288,0.9366295264623955,1,1,2,8,4,13,iPod,4.2
0,1,1,1,1,2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0.2353,0.6093314763231198,1,1,1,12,2,6,iPhone,6.1
1,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0.9716,0.20682451253481893,1,1,3,6,2,0,Windows,6.0
1,0,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.32020000000000004,0.4589136490250696,0,0,1,10,2,10,Macintosh,10.6
0,1,1,0,1,2,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0226,0.9366295264623955,0,0,2,5,6,9,Windows,6.2
1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0.1059,0.201949860724234,1,1,2,4,1,14,Linux,1.0
1,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0.0438,0.5654596100278552,0,1,3,7,1,5,Windows,2.0
0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.7509,0.13231197771587744,1,1,3,8,3,0,Windows,5.1
0,0,1,2,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0.2813,0.7214484679665738,1,0,2,6,1,9,iPhone,7.1
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0.267,0.3551532033426184,1,0,1,10,6,19,Linux,1.0
1,0,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.9888,0.07172701949860724,1,1,3,3,4,16,Windows,5.01
1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.8192,0.5222841225626741,1,1,3,2,3,22,Linux,1.0
0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0.3148,0.039693593314763236,0,1,2,10,3,14,Windows,1.0
1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.6018,0.5564066852367688,1,0,3,6,6,18,Macintosh,10.11
0,0,1,2,1,3,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0.7062,0.08565459610027856,1,1,1,1,3,14,Linux,1.0
0,0,1,1,0,3,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0.8166,0.8934540389972145,1,0,2,7,3,12,Macintosh,10.5
1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0.7034,0.4491643454038997,1,0,3,9,4,16,Windows,5.2
1,1,0,2,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.011899999999999999,0.366991643454039,1,1,1,8,6,15,Windows,0.0
0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.2086,0.6817548746518106,1,1,1,8,4,11,Windows,2.0
1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.4697,0.11281337047353762,0,1,1,6,3,18,iPod,3.2
1,0,0,0,0,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.2382,0.39484679665738165,1,0,1,3,4,20,Windows,5.0
1,1,1,1,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.56,0.37952646239554316,0,1,0,3,0,6,Windows,5.01
0,1,1,2,1,3,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0.158,0.7437325905292479,1,0,1,2,0,0,Android,10.0
0,1,0,1,1,3,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.51,0.6107242339832869,1,0,3,1,5,18,Macintosh,10.12
0,0,1,2,1,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.2861,0.32103064066852366,1,1,1,6,2,0,Windows,0.0
1,1,0,2,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0.6884,0.44707520891364905,1,1,0,4,3,1,Windows,1.0
1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.6162,0.9568245125348189,1,0,2,4,4,10,iPod,3.3
1,0,0,1,1,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.6444,0.34401114206128136,1,1,0,3,5,4,Windows,0.0
0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.11939999999999999,0.9895543175487465,1,0,3,6,4,9,Macintosh,10.8
1,0,1,2,0,3,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.9104000000000001,0.7235376044568245,0,1,0,9,1,0,Windows,4.0
0,0,1,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.8316,0.08913649025069639,1,1,1,1,0,23,Linux,1.0
0,0,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.5297999999999999,0.8655988857938719,0,1,2,4,0,15,Macintosh,10.12
1,0,1,2,1,3,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.2025,0.5696378830083566,1,1,0,3,3,4,Macintosh,10.5
1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0.7806000000000001,0.9052924791086351,0,1,2,12,5,16,Macintosh,10.11
0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0012,0.9080779944289694,1,0,2,6,3,11,iPod,3.1
0,1,0,1,1,2,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.8711,0.24651810584958217,1,1,0,6,0,7,Windows,1.0
1,0,0,1,1,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0.13210000000000002,0.5668523676880223,0,1,1,3,1,1,Windows,2.0
0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0.1775,0.9011142061281338,1,1,1,2,0,3,Linux,1.0
0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0.0738,0.4575208913649025,0,0,2,11,4,22,Windows,6.0
1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0.5302,0.7103064066852368,0,1,1,12,5,17,Macintosh,10.9
1,0,1,1,1,3,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0.5391,0.23328690807799446,0,0,2,3,1,11,Linux,1.0
0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.2715,0.637883008356546,1,1,0,6,4,2,iPod,3.3
0,1,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0.6965000000000001,0.7520891364902507,1,0,2,12,1,17,Android,8.1
